ScientificName	AphiaID	Match type	LSID	TSN	ScientificName	Authority	Qualitystatus	Taxon status	AphiaID_accepted	ScientificName_accepted	Authority_accepted	Kingdom	Phylum	Class	Order	Family	Genus	Subgenus	Species	Subspecies	isMarine	isBrackish	isFresh	isTerrestrial	Citation
Rissoa violacea	141374	exact	urn:lsid:marinespecies.org:taxname:141374		Rissoa violacea	Desmarest, 1814	Checked by Taxonomic Editor	accepted	141374	Rissoa violacea	Desmarest, 1814	Animalia	Mollusca	Gastropoda	Littorinimorpha	Rissoidae	Rissoa		violacea		1				MolluscaBase eds. (2022). MolluscaBase. Rissoa violacea Desmarest, 1814. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=141374 on 2022-10-01
Clausocalanus arcuicornis	104502	exact	urn:lsid:marinespecies.org:taxname:104502	85353	Clausocalanus arcuicornis	(Dana, 1849)	Checked by Taxonomic Editor	alternate representation	1461626	Clausocalanus arcuicornis arcuicornis	(Dana, 1849)	Animalia	Arthropoda	Copepoda	Calanoida	Clausocalanidae	Clausocalanus		arcuicornis		1	0	0	0	Walter, T.C.; Boxshall, G. (2022). World of Copepods Database. Clausocalanus arcuicornis (Dana, 1849). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=104502 on 2022-10-01
Pseudocalanus elongatus	104515	exact	urn:lsid:marinespecies.org:taxname:104515	85370	Pseudocalanus elongatus	(Brady, 1865)	Checked by Taxonomic Editor	accepted	104515	Pseudocalanus elongatus	(Brady, 1865)	Animalia	Arthropoda	Copepoda	Calanoida	Clausocalanidae	Pseudocalanus		elongatus		1	0	0	0	Walter, T.C.; Boxshall, G. (2022). World of Copepods Database. Pseudocalanus elongatus (Brady, 1865). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=104515 on 2022-10-01
Cerithiopsis tubercularis	139085	exact	urn:lsid:marinespecies.org:taxname:139085	567344	Cerithiopsis tubercularis	(Montagu, 1803)	Checked by Taxonomic Editor	accepted	139085	Cerithiopsis tubercularis	(Montagu, 1803)	Animalia	Mollusca	Gastropoda	[unassigned] Caenogastropoda	Cerithiopsidae	Cerithiopsis		tubercularis		1				MolluscaBase eds. (2022). MolluscaBase. Cerithiopsis tubercularis (Montagu, 1803). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=139085 on 2022-10-01
Neogloboquadrina incompta	113474	exact	urn:lsid:marinespecies.org:taxname:113474		Neogloboquadrina incompta	(Cifelli, 1961)	Checked by Taxonomic Editor	accepted	113474	Neogloboquadrina incompta	(Cifelli, 1961)	Chromista	Foraminifera	Globothalamea	Rotaliida	Globorotaliidae	Neogloboquadrina		incompta		1				Hayward, B.W.; Le Coze, F.; Vachard, D.; Gross, O. (2022). World Foraminifera Database. Neogloboquadrina incompta (Cifelli, 1961). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=113474 on 2022-10-01
Gnathia dentata	118990	exact	urn:lsid:marinespecies.org:taxname:118990	92136	Gnathia dentata	(G. O. Sars, 1872)	Checked by Taxonomic Editor	accepted	118990	Gnathia dentata	(G. O. Sars, 1872)	Animalia	Arthropoda	Malacostraca	Isopoda	Gnathiidae	Gnathia		dentata		1	0	0	0	Boyko, C.B.; Bruce, N.L.; Hadfield, K.A.; Merrin, K.L.; Ota, Y.; Poore, G.C.B.; Taiti, S. (Eds) (2008 onwards). World Marine, Freshwater and Terrestrial Isopod Crustaceans database. Gnathia dentata (G. O. Sars, 1872). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=118990 on 2022-10-01
Centropages typicus	104499	exact	urn:lsid:marinespecies.org:taxname:104499	85767	Centropages typicus	Krøyer, 1849	Checked by Taxonomic Editor	accepted	104499	Centropages typicus	Krøyer, 1849	Animalia	Arthropoda	Copepoda	Calanoida	Centropagidae	Centropages		typicus		1	0	0	0	Walter, T.C.; Boxshall, G. (2022). World of Copepods Database. Centropages typicus Krøyer, 1849. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=104499 on 2022-10-01
Exogone naidina	327985	exact	urn:lsid:marinespecies.org:taxname:327985	65726	Exogone naidina	Örsted, 1845	Checked by Taxonomic Editor	accepted	327985	Exogone naidina	Örsted, 1845	Animalia	Annelida	Polychaeta	Phyllodocida	Syllidae	Exogone		naidina		1	0	0	0	Read, G.; Fauchald, K. (Ed.) (2022). World Polychaeta Database. Exogone naidina Örsted, 1845. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=327985 on 2022-10-01
Latreillia elegans	107265	exact	urn:lsid:marinespecies.org:taxname:107265	98326	Latreillia elegans	Roux, 1830	Checked by Taxonomic Editor	accepted	107265	Latreillia elegans	Roux, 1830	Animalia	Arthropoda	Malacostraca	Decapoda	Latreilliidae	Latreillia		elegans		1	0	0	0	WoRMS (2022). Latreillia elegans Roux, 1830. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=107265 on 2022-10-01
Maupasia coeca	155417	exact	urn:lsid:marinespecies.org:taxname:155417	65433	Maupasia coeca	Viguier, 1886	Checked by Taxonomic Editor	accepted	155417	Maupasia coeca	Viguier, 1886	Animalia	Annelida	Polychaeta	Phyllodocida	Lopadorrhynchidae	Maupasia		coeca		1				Read, G.; Fauchald, K. (Ed.) (2022). World Polychaeta Database. Maupasia coeca Viguier, 1886. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=155417 on 2022-10-01
Achaeus cranchii	107313	exact	urn:lsid:marinespecies.org:taxname:107313	98577	Achaeus cranchii	Leach, 1817	Checked by Taxonomic Editor	accepted	107313	Achaeus cranchii	Leach, 1817	Animalia	Arthropoda	Malacostraca	Decapoda	Inachidae	Achaeus		cranchii		1	0	0	0	WoRMS (2022). Achaeus cranchii Leach, 1817. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=107313 on 2022-10-01
